id,pred
2016_1231_1423,0.801660
2016_1231_1453,0.837059
2016_1231_1380,0.848793
2016_1323_1462,0.180833
2016_1323_1452,0.272680
2016_1323_1458,0.285189
2016_1323_1425,0.503849
2016_1323_1344,0.485341
2016_1323_1338,0.650119
2016_1323_1409,0.510256
2016_1323_1392,0.392741
2016_1323_1372,0.535935
2016_1323_1451,0.444831
2016_1323_1438,0.192033
2016_1323_1428,0.292256
2016_1323_1345,0.209450
2016_1323_1371,0.263202
2016_1323_1403,0.416487
2016_1323_1393,0.385823
2016_1323_1437,0.463128
2016_1323_1396,0.711771
2016_1323_1435,0.591983
2016_1323_1455,0.521247
2016_1323_1355,0.588513
2016_1323_1421,0.641009
2016_1323_1332,0.496653
2016_1323_1328,0.517861
2016_1323_1401,0.506224
2016_1323_1400,0.686377
2016_1323_1333,0.725802
2016_1323_1386,0.545509
2016_1323_1433,0.558708
2016_1323_1463,0.575016
2016_1323_1423,0.606987
2016_1323_1453,0.679346
2016_1323_1380,0.711416
2016_1458_1462,0.283529
2016_1458_1463,0.601953
2016_1425_1462,0.406864
2016_1425_1452,0.162059
2016_1425_1458,0.283180
2016_1425_1451,0.444121
2016_1425_1438,0.190739
2016_1425_1428,0.286656
2016_1425_1437,0.464031
2016_1425_1435,0.589567
2016_1425_1455,0.519713
2016_1425_1433,0.556700
2016_1425_1463,0.575554
2016_1425_1453,0.676285
2016_1344_1462,0.501438
2016_1344_1452,0.344994
2016_1344_1458,0.471959
2016_1344_1425,0.491546
2016_1344_1409,0.483544
2016_1344_1392,0.574011
2016_1344_1372,0.364141
2016_1344_1451,0.450675
2016_1344_1438,0.193044
2016_1344_1428,0.299283
2016_1344_1345,0.212678
2016_1344_1371,0.267992
2016_1344_1403,0.429680
2016_1344_1393,0.399862
2016_1344_1437,0.464392
2016_1344_1396,0.722816
2016_1344_1435,0.602411
2016_1344_1455,0.520961
2016_1344_1355,0.594058
2016_1344_1421,0.645602
2016_1344_1401,0.509970
2016_1344_1400,0.703663
2016_1344_1386,0.550664
2016_1344_1433,0.567723
2016_1344_1463,0.579322
2016_1344_1423,0.616998
2016_1344_1453,0.689185
2016_1344_1380,0.717448
2016_1338_1462,0.304119
2016_1338_1452,0.259347
2016_1338_1458,0.436477
2016_1338_1425,0.529481
2016_1338_1344,0.510678
2016_1338_1409,0.318318
2016_1338_1392,0.420677
2016_1338_1372,0.389272
2016_1338_1451,0.648413
2016_1338_1438,0.209043
2016_1338_1428,0.319205
2016_1338_1345,0.231863
2016_1338_1371,0.290445
2016_1338_1403,0.442430
2016_1338_1393,0.410787
2016_1338_1437,0.479267
2016_1338_1396,0.736825
2016_1338_1435,0.618553
2016_1338_1455,0.545333
2016_1338_1355,0.614986
2016_1338_1421,0.667113
2016_1338_1401,0.529444
2016_1338_1400,0.711948
2016_1338_1386,0.570932
2016_1338_1433,0.586102
2016_1338_1463,0.602793
2016_1338_1423,0.636262
2016_1338_1453,0.705777
2016_1338_1380,0.734631
2016_1276_1314,0.332770
2016_1276_1462,0.133177
2016_1276_1452,0.256824
2016_1276_1323,0.434345
2016_1276_1458,0.618177
2016_1276_1425,0.304623
2016_1276_1344,0.464228
2016_1276_1338,0.632173
2016_1276_1409,0.450687
2016_1276_1392,0.375339
2016_1276_1372,0.516987
2016_1276_1451,0.428516
2016_1276_1438,0.179906
2016_1276_1277,0.150851
2016_1276_1428,0.270916
2016_1276_1345,0.191882
2016_1276_1371,0.245588
2016_1276_1403,0.394803
2016_1276_1393,0.363956
2016_1276_1292,0.334599
2016_1276_1437,0.450182
2016_1276_1396,0.690843
2016_1276_1435,0.572768
2016_1276_1455,0.500818
2016_1276_1355,0.569901
2016_1276_1421,0.620822
2016_1276_1332,0.484224
2016_1276_1328,0.502898
2016_1276_1401,0.494612
2016_1276_1400,0.664337
2016_1276_1333,0.706297
2016_1276_1386,0.528003
2016_1276_1433,0.539159
2016_1276_1320,0.623933
2016_1276_1463,0.555187
2016_1276_1423,0.588912
2016_1276_1453,0.657461
2016_1276_1380,0.691820
2016_1409_1462,0.166056
2016_1409_1452,0.301406
2016_1409_1458,0.666837
2016_1409_1425,0.358558
2016_1409_1451,0.470069
2016_1409_1438,0.210932
2016_1409_1428,0.316025
2016_1409_1437,0.482412
2016_1409_1435,0.620764
2016_1409_1455,0.546387
2016_1409_1421,0.662610
2016_1409_1433,0.584794
2016_1409_1463,0.597600
2016_1409_1423,0.630978
2016_1409_1453,0.706480
2016_1151_1314,0.154783
2016_1151_1462,0.390424
2016_1151_1452,0.413871
2016_1151_1246,0.307773
2016_1151_1231,0.360455
2016_1151_1323,0.583058
2016_1151_1458,0.549057
2016_1151_1425,0.585969
2016_1151_1344,0.578013
2016_1151_1338,0.556253
2016_1151_1276,0.601611
2016_1151_1409,0.560354
2016_1151_1392,0.525232
2016_1151_1372,0.407604
2016_1151_1451,0.528386
2016_1151_1192,0.662417
2016_1151_1195,0.613199
2016_1151_1438,0.244175
2016_1151_1277,0.200245
2016_1151_1428,0.377147
2016_1151_1235,0.389780
2016_1151_1345,0.273230
2016_1151_1371,0.342925
2016_1151_1173,0.392191
2016_1151_1403,0.491153
2016_1151_1393,0.469803
2016_1151_1211,0.286235
2016_1151_1233,0.392022
2016_1151_1201,0.430985
2016_1151_1292,0.436507
2016_1151_1214,0.494690
2016_1151_1242,0.488610
2016_1151_1437,0.507739
2016_1151_1274,0.627835
2016_1151_1268,0.673128
2016_1151_1234,0.651453
2016_1151_1160,0.746654
2016_1151_1163,0.630119
2016_1151_1396,0.798040
2016_1151_1435,0.684324
2016_1151_1455,0.570030
2016_1151_1355,0.671252
2016_1151_1218,0.625030
2016_1151_1421,0.722439
2016_1151_1332,0.552520
2016_1151_1328,0.598979
2016_1151_1401,0.573302
2016_1151_1181,0.654047
2016_1151_1400,0.771267
2016_1151_1333,0.798182
2016_1151_1386,0.621890
2016_1151_1153,0.643823
2016_1151_1433,0.642085
2016_1151_1320,0.724380
2016_1151_1463,0.645083
2016_1151_1423,0.697926
2016_1151_1453,0.761792
2016_1151_1167,0.662416
2016_1151_1221,0.854179
2016_1151_1380,0.785679
2016_1392_1462,0.423211
2016_1392_1452,0.443303
2016_1392_1458,0.578304
2016_1392_1425,0.607605
2016_1392_1409,0.582181
2016_1392_1451,0.560388
2016_1392_1438,0.276669
2016_1392_1428,0.409274
2016_1392_1403,0.508539
2016_1392_1393,0.493976
2016_1392_1437,0.531702
2016_1392_1396,0.819720
2016_1392_1435,0.714809
2016_1392_1455,0.595370
2016_1392_1421,0.753815
2016_1392_1401,0.606471
2016_1392_1400,0.793176
2016_1392_1433,0.674644
2016_1392_1463,0.679385
2016_1392_1423,0.729245
2016_1392_1453,0.784143
2016_1372_1462,0.483549
2016_1372_1452,0.371936
2016_1372_1458,0.611470
2016_1372_1425,0.641452
2016_1372_1409,0.439974
2016_1372_1392,0.570023
2016_1372_1451,0.612210
2016_1372_1438,0.348333
2016_1372_1428,0.462740
2016_1372_1403,0.532207
2016_1372_1393,0.520695
2016_1372_1437,0.599409
2016_1372_1396,0.845203
2016_1372_1435,0.763760
2016_1372_1455,0.674910
2016_1372_1421,0.802524
2016_1372_1401,0.673671
2016_1372_1400,0.822874
2016_1372_1386,0.720477
2016_1372_1433,0.732681
2016_1372_1463,0.752452
2016_1372_1423,0.773021
2016_1372_1453,0.812778
2016_1372_1380,0.825107
2016_1451_1462,0.213561
2016_1451_1452,0.219507
2016_1451_1458,0.524485
2016_1451_1455,0.553419
2016_1451_1463,0.617938
2016_1451_1453,0.738282
2016_1192_1314,0.076515
2016_1192_1462,0.278497
2016_1192_1452,0.304411
2016_1192_1246,0.294592
2016_1192_1231,0.285764
2016_1192_1323,0.409882
2016_1192_1458,0.369075
2016_1192_1425,0.415689
2016_1192_1344,0.396342
2016_1192_1338,0.387863
2016_1192_1276,0.433768
2016_1192_1409,0.376291
2016_1192_1392,0.329449
2016_1192_1372,0.318631
2016_1192_1451,0.351659
2016_1192_1195,0.421148
2016_1192_1438,0.154174
2016_1192_1277,0.145275
2016_1192_1428,0.218526
2016_1192_1235,0.225008
2016_1192_1345,0.174605
2016_1192_1371,0.197509
2016_1192_1403,0.309257
2016_1192_1393,0.292946
2016_1192_1211,0.183001
2016_1192_1233,0.228690
2016_1192_1201,0.244625
2016_1192_1292,0.246779
2016_1192_1214,0.306892
2016_1192_1242,0.416916
2016_1192_1437,0.437308
2016_1192_1274,0.489824
2016_1192_1268,0.528860
2016_1192_1234,0.505196
2016_1192_1396,0.608976
2016_1192_1435,0.520683
2016_1192_1455,0.482994
2016_1192_1355,0.506813
2016_1192_1218,0.490734
2016_1192_1421,0.541976
2016_1192_1332,0.442974
2016_1192_1328,0.472963
2016_1192_1401,0.459046
2016_1192_1400,0.590186
2016_1192_1333,0.620529
2016_1192_1386,0.482167
2016_1192_1433,0.503611
2016_1192_1320,0.541164
2016_1192_1463,0.507726
2016_1192_1423,0.520433
2016_1192_1453,0.572226
2016_1192_1221,0.748322
2016_1192_1380,0.600530
2016_1195_1314,0.098473
2016_1195_1462,0.313368
2016_1195_1452,0.341086
2016_1195_1246,0.321979
2016_1195_1231,0.317701
2016_1195_1323,0.468119
2016_1195_1458,0.430531
2016_1195_1425,0.470982
2016_1195_1344,0.457591
2016_1195_1338,0.444227
2016_1195_1276,0.487966
2016_1195_1409,0.439297
2016_1195_1392,0.368344
2016_1195_1372,0.344417
2016_1195_1451,0.406311
2016_1195_1438,0.179228
2016_1195_1277,0.161075
2016_1195_1428,0.265926
2016_1195_1235,0.279023
2016_1195_1345,0.204724
2016_1195_1371,0.238868
2016_1195_1403,0.378507
2016_1195_1393,0.353199
2016_1195_1211,0.213860
2016_1195_1233,0.277043
2016_1195_1201,0.306549
2016_1195_1292,0.311683
2016_1195_1214,0.387050
2016_1195_1242,0.436054
2016_1195_1437,0.457309
2016_1195_1274,0.532252
2016_1195_1268,0.574603
2016_1195_1234,0.549622
2016_1195_1396,0.679770
2016_1195_1435,0.573655
2016_1195_1455,0.511304
2016_1195_1355,0.555508
2016_1195_1218,0.527817
2016_1195_1421,0.599228
2016_1195_1332,0.472238
2016_1195_1328,0.511887
2016_1195_1401,0.492400
2016_1195_1400,0.654552
2016_1195_1333,0.690455
2016_1195_1386,0.524585
2016_1195_1433,0.540946
2016_1195_1320,0.601790
2016_1195_1463,0.548172
2016_1195_1423,0.577169
2016_1195_1453,0.642963
2016_1195_1221,0.806188
2016_1195_1380,0.679606
2016_1438_1462,0.645066
2016_1438_1452,0.671581
2016_1438_1458,0.786494
2016_1438_1451,0.769482
2016_1438_1455,0.497712
2016_1438_1463,0.690768
2016_1438_1453,0.769114
2016_1277_1314,0.648863
2016_1277_1462,0.711558
2016_1277_1452,0.737550
2016_1277_1323,0.834187
2016_1277_1458,0.811118
2016_1277_1425,0.835228
2016_1277_1344,0.831649
2016_1277_1338,0.812708
2016_1277_1409,0.813259
2016_1277_1392,0.784426
2016_1277_1372,0.716588
2016_1277_1451,0.809932
2016_1277_1438,0.586490
2016_1277_1428,0.693414
2016_1277_1345,0.426225
2016_1277_1371,0.798335
2016_1277_1403,0.635828
2016_1277_1393,0.755464
2016_1277_1292,0.855117
2016_1277_1437,0.504807
2016_1277_1396,0.709766
2016_1277_1435,0.654737
2016_1277_1455,0.576013
2016_1277_1355,0.647029
2016_1277_1421,0.678843
2016_1277_1332,0.668752
2016_1277_1328,0.698130
2016_1277_1401,0.693027
2016_1277_1400,0.804388
2016_1277_1333,0.809792
2016_1277_1386,0.732685
2016_1277_1433,0.747466
2016_1277_1320,0.779964
2016_1277_1463,0.753998
2016_1277_1423,0.769816
2016_1277_1453,0.788722
2016_1277_1380,0.795149
2016_1428_1462,0.515444
2016_1428_1452,0.537352
2016_1428_1458,0.674710
2016_1428_1451,0.651057
2016_1428_1438,0.318010
2016_1428_1437,0.307611
2016_1428_1435,0.487013
2016_1428_1455,0.372657
2016_1428_1433,0.556445
2016_1428_1463,0.562304
2016_1428_1453,0.676297
2016_1235_1314,0.449062
2016_1235_1462,0.500809
2016_1235_1452,0.526350
2016_1235_1246,0.516808
2016_1235_1323,0.703141
2016_1235_1458,0.663747
2016_1235_1425,0.708514
2016_1235_1344,0.692352
2016_1235_1338,0.679969
2016_1235_1276,0.722690
2016_1235_1409,0.674144
2016_1235_1392,0.587346
2016_1235_1372,0.539850
2016_1235_1451,0.642883
2016_1235_1438,0.303725
2016_1235_1277,0.390038
2016_1235_1428,0.485953
2016_1235_1345,0.371162
2016_1235_1371,0.455910
2016_1235_1403,0.557371
2016_1235_1393,0.590289
2016_1235_1292,0.550119
2016_1235_1242,0.289423
2016_1235_1437,0.309410
2016_1235_1274,0.417551
2016_1235_1268,0.465986
2016_1235_1396,0.588947
2016_1235_1435,0.473095
2016_1235_1455,0.381462
2016_1235_1355,0.464072
2016_1235_1421,0.515121
2016_1235_1332,0.465054
2016_1235_1328,0.498295
2016_1235_1401,0.481227
2016_1235_1400,0.681896
2016_1235_1333,0.715396
2016_1235_1386,0.528960
2016_1235_1433,0.547573
2016_1235_1320,0.629936
2016_1235_1463,0.559979
2016_1235_1423,0.597696
2016_1235_1453,0.664721
2016_1235_1380,0.688253
2016_1345_1462,0.621393
2016_1345_1452,0.644080
2016_1345_1458,0.761444
2016_1345_1425,0.792319
2016_1345_1409,0.767408
2016_1345_1392,0.696205
2016_1345_1372,0.633978
2016_1345_1451,0.742762
2016_1345_1438,0.356151
2016_1345_1428,0.430540
2016_1345_1371,0.748863
2016_1345_1403,0.511125
2016_1345_1393,0.673016
2016_1345_1437,0.396390
2016_1345_1396,0.669826
2016_1345_1435,0.589488
2016_1345_1455,0.476618
2016_1345_1355,0.572268
2016_1345_1421,0.616527
2016_1345_1401,0.595875
2016_1345_1400,0.763305
2016_1345_1386,0.646457
2016_1345_1433,0.663257
2016_1345_1463,0.665426
2016_1345_1423,0.707969
2016_1345_1453,0.745420
2016_1345_1380,0.758227
2016_1371_1462,0.543502
2016_1371_1452,0.570233
2016_1371_1458,0.708293
2016_1371_1425,0.738032
2016_1371_1409,0.711491
2016_1371_1392,0.625120
2016_1371_1372,0.557710
2016_1371_1451,0.685038
2016_1371_1438,0.225695
2016_1371_1428,0.462919
2016_1371_1403,0.642246
2016_1371_1393,0.801039
2016_1371_1437,0.331931
2016_1371_1396,0.629141
2016_1371_1435,0.519641
2016_1371_1455,0.402805
2016_1371_1421,0.555782
2016_1371_1401,0.520717
2016_1371_1400,0.716749
2016_1371_1386,0.570883
2016_1371_1433,0.590762
2016_1371_1463,0.593309
2016_1371_1423,0.646369
2016_1371_1453,0.704496
2016_1371_1380,0.729130
2016_1173_1314,0.441873
2016_1173_1462,0.495996
2016_1173_1452,0.520449
2016_1173_1246,0.503424
2016_1173_1231,0.498709
2016_1173_1323,0.696258
2016_1173_1458,0.661960
2016_1173_1425,0.698755
2016_1173_1344,0.688198
2016_1173_1338,0.670794
2016_1173_1276,0.714770
2016_1173_1409,0.669177
2016_1173_1392,0.576952
2016_1173_1372,0.528575
2016_1173_1451,0.633062
2016_1173_1192,0.763566
2016_1173_1195,0.717004
2016_1173_1438,0.270827
2016_1173_1277,0.253354
2016_1173_1428,0.482075
2016_1173_1235,0.496894
2016_1173_1345,0.378927
2016_1173_1371,0.622634
2016_1173_1403,0.780645
2016_1173_1393,0.630741
2016_1173_1211,0.221217
2016_1173_1233,0.501957
2016_1173_1201,0.536035
2016_1173_1292,0.540514
2016_1173_1214,0.597287
2016_1173_1242,0.283285
2016_1173_1437,0.298512
2016_1173_1274,0.415597
2016_1173_1268,0.462067
2016_1173_1234,0.439706
2016_1173_1396,0.586359
2016_1173_1435,0.469339
2016_1173_1455,0.363490
2016_1173_1355,0.456449
2016_1173_1218,0.408411
2016_1173_1421,0.506382
2016_1173_1332,0.454789
2016_1173_1328,0.498030
2016_1173_1401,0.474759
2016_1173_1181,0.555046
2016_1173_1400,0.675640
2016_1173_1333,0.705347
2016_1173_1386,0.519181
2016_1173_1433,0.537869
2016_1173_1320,0.623814
2016_1173_1463,0.547660
2016_1173_1423,0.594804
2016_1173_1453,0.655795
2016_1173_1221,0.757063
2016_1173_1380,0.681714
2016_1403_1462,0.421460
2016_1403_1452,0.445947
2016_1403_1458,0.547254
2016_1403_1425,0.587410
2016_1403_1409,0.552508
2016_1403_1451,0.532377
2016_1403_1438,0.168134
2016_1403_1428,0.208757
2016_1403_1437,0.251115
2016_1403_1435,0.361378
2016_1403_1455,0.305593
2016_1403_1421,0.407541
2016_1403_1433,0.449708
2016_1403_1463,0.460750
2016_1403_1423,0.487911
2016_1403_1453,0.558617
2016_1139_1314,0.432044
2016_1139_1462,0.482865
2016_1139_1452,0.503600
2016_1139_1246,0.489068
2016_1139_1231,0.482242
2016_1139_1323,0.680560
2016_1139_1458,0.637009
2016_1139_1425,0.685117
2016_1139_1344,0.667643
2016_1139_1338,0.653490
2016_1139_1276,0.701488
2016_1139_1409,0.648070
2016_1139_1151,0.585391
2016_1139_1392,0.559746
2016_1139_1372,0.513668
2016_1139_1451,0.616632
2016_1139_1192,0.749871
2016_1139_1195,0.698638
2016_1139_1438,0.214777
2016_1139_1277,0.479490
2016_1139_1428,0.462734
2016_1139_1235,0.305261
2016_1139_1345,0.187753
2016_1139_1371,0.431232
2016_1139_1173,0.478057
2016_1139_1403,0.562479
2016_1139_1393,0.563916
2016_1139_1211,0.382415
2016_1139_1233,0.660474
2016_1139_1201,0.515907
2016_1139_1292,0.520504
2016_1139_1214,0.580549
2016_1139_1242,0.274683
2016_1139_1437,0.285996
2016_1139_1274,0.397530
2016_1139_1143,0.396634
2016_1139_1268,0.442511
2016_1139_1234,0.421895
2016_1139_1160,0.518274
2016_1139_1163,0.398368
2016_1139_1396,0.564171
2016_1139_1435,0.446991
2016_1139_1455,0.348498
2016_1139_1355,0.436979
2016_1139_1218,0.393002
2016_1139_1421,0.487908
2016_1139_1332,0.443942
2016_1139_1328,0.481368
2016_1139_1401,0.456087
2016_1139_1181,0.535684
2016_1139_1400,0.654395
2016_1139_1333,0.686462
2016_1139_1386,0.503603
2016_1139_1153,0.520966
2016_1139_1433,0.518863
2016_1139_1320,0.600673
2016_1139_1463,0.528228
2016_1139_1423,0.574463
2016_1139_1453,0.640567
2016_1139_1167,0.545914
2016_1139_1221,0.740076
2016_1139_1380,0.662768
2016_1393_1462,0.434795
2016_1393_1452,0.458753
2016_1393_1458,0.574732
2016_1393_1425,0.616768
2016_1393_1409,0.581873
2016_1393_1451,0.555574
2016_1393_1438,0.129654
2016_1393_1428,0.297424
2016_1393_1403,0.528782
2016_1393_1437,0.259351
2016_1393_1396,0.503719
2016_1393_1435,0.382869
2016_1393_1455,0.316201
2016_1393_1421,0.427658
2016_1393_1401,0.409480
2016_1393_1400,0.593620
2016_1393_1433,0.464040
2016_1393_1463,0.477103
2016_1393_1423,0.509705
2016_1393_1453,0.581284
2016_1211_1314,0.530859
2016_1211_1462,0.606731
2016_1211_1452,0.627105
2016_1211_1246,0.603900
2016_1211_1231,0.604292
2016_1211_1323,0.770687
2016_1211_1458,0.741232
2016_1211_1425,0.773276
2016_1211_1344,0.769225
2016_1211_1338,0.745301
2016_1211_1276,0.789660
2016_1211_1409,0.746284
2016_1211_1392,0.684934
2016_1211_1372,0.607850
2016_1211_1451,0.732784
2016_1211_1438,0.517159
2016_1211_1277,0.205357
2016_1211_1428,0.524779
2016_1211_1235,0.588743
2016_1211_1345,0.484015
2016_1211_1371,0.521938
2016_1211_1403,0.490557
2016_1211_1393,0.829173
2016_1211_1233,0.603873
2016_1211_1292,0.635033
2016_1211_1214,0.670617
2016_1211_1242,0.363387
2016_1211_1437,0.382145
2016_1211_1274,0.514948
2016_1211_1268,0.559795
2016_1211_1234,0.535659
2016_1211_1396,0.655540
2016_1211_1435,0.570218
2016_1211_1455,0.453895
2016_1211_1355,0.561796
2016_1211_1218,0.520548
2016_1211_1421,0.605197
2016_1211_1332,0.559518
2016_1211_1328,0.600574
2016_1211_1401,0.583032
2016_1211_1400,0.744887
2016_1211_1333,0.760663
2016_1211_1386,0.632110
2016_1211_1433,0.650471
2016_1211_1320,0.712798
2016_1211_1463,0.654874
2016_1211_1423,0.694122
2016_1211_1453,0.734556
2016_1211_1221,0.787387
2016_1211_1380,0.747695
2016_1114_1314,0.485432
2016_1114_1462,0.551705
2016_1114_1452,0.580119
2016_1114_1246,0.549244
2016_1114_1231,0.554034
2016_1114_1323,0.743882
2016_1114_1458,0.712974
2016_1114_1425,0.743710
2016_1114_1344,0.739586
2016_1114_1338,0.717192
2016_1114_1276,0.762896
2016_1114_1409,0.716697
2016_1114_1151,0.669116
2016_1114_1392,0.633186
2016_1114_1372,0.569552
2016_1114_1451,0.689752
2016_1114_1192,0.798132
2016_1114_1195,0.760758
2016_1114_1438,0.232024
2016_1114_1277,0.344765
2016_1114_1428,0.544069
2016_1114_1235,0.468554
2016_1114_1345,0.401415
2016_1114_1371,0.508793
2016_1114_1173,0.557857
2016_1114_1403,0.643338
2016_1114_1139,0.578349
2016_1114_1393,0.629163
2016_1114_1211,0.451475
2016_1114_1233,0.612436
2016_1114_1201,0.591044
2016_1114_1292,0.597520
2016_1114_1214,0.640391
2016_1114_1242,0.319171
2016_1114_1437,0.338718
2016_1114_1274,0.472501
2016_1114_1143,0.477189
2016_1114_1268,0.519003
2016_1114_1234,0.495938
2016_1114_1160,0.584932
2016_1114_1163,0.477096
2016_1114_1396,0.631474
2016_1114_1435,0.529898
2016_1114_1455,0.410658
2016_1114_1355,0.513999
2016_1114_1218,0.468664
2016_1114_1138,0.640644
2016_1114_1421,0.561609
2016_1114_1122,0.661204
2016_1114_1332,0.505201
2016_1114_1328,0.554076
2016_1114_1401,0.529284
2016_1114_1181,0.609394
2016_1114_1124,0.693283
2016_1114_1400,0.719704
2016_1114_1333,0.739936
2016_1114_1386,0.577903
2016_1114_1153,0.602144
2016_1114_1433,0.598429
2016_1114_1320,0.677625
2016_1114_1463,0.604033
2016_1114_1423,0.651230
2016_1114_1453,0.704280
2016_1114_1167,0.618540
2016_1114_1221,0.780249
2016_1114_1380,0.725651
2016_1233_1314,0.447824
2016_1233_1462,0.504175
2016_1233_1452,0.527502
2016_1233_1246,0.502458
2016_1233_1323,0.678338
2016_1233_1458,0.654298
2016_1233_1425,0.682127
2016_1233_1344,0.678980
2016_1233_1338,0.650111
2016_1233_1276,0.700664
2016_1233_1409,0.657566
2016_1233_1392,0.576760
2016_1233_1372,0.510396
2016_1233_1451,0.638094
2016_1233_1438,0.192125
2016_1233_1277,0.313194
2016_1233_1428,0.481926
2016_1233_1235,0.379973
2016_1233_1345,0.298790
2016_1233_1371,0.453583
2016_1233_1403,0.589637
2016_1233_1393,0.569710
2016_1233_1292,0.544969
2016_1233_1242,0.280916
2016_1233_1437,0.305796
2016_1233_1274,0.411187
2016_1233_1268,0.452142
2016_1233_1234,0.427708
2016_1233_1396,0.582013
2016_1233_1435,0.466660
2016_1233_1455,0.358948
2016_1233_1355,0.459092
2016_1233_1421,0.509630
2016_1233_1332,0.454040
2016_1233_1328,0.495321
2016_1233_1401,0.479932
2016_1233_1400,0.662723
2016_1233_1333,0.693584
2016_1233_1386,0.525779
2016_1233_1433,0.542053
2016_1233_1320,0.627552
2016_1233_1463,0.546960
2016_1233_1423,0.592149
2016_1233_1453,0.664444
2016_1233_1380,0.690392
2016_1201_1314,0.422943
2016_1201_1462,0.473477
2016_1201_1452,0.500854
2016_1201_1246,0.474580
2016_1201_1231,0.480981
2016_1201_1323,0.653145
2016_1201_1458,0.620265
2016_1201_1425,0.654551
2016_1201_1344,0.646411
2016_1201_1338,0.623968
2016_1201_1276,0.668852
2016_1201_1409,0.627777
2016_1201_1392,0.538482
2016_1201_1372,0.495303
2016_1201_1451,0.595037
2016_1201_1438,0.332737
2016_1201_1277,0.300111
2016_1201_1428,0.319136
2016_1201_1235,0.455037
2016_1201_1345,0.359467
2016_1201_1371,0.239054
2016_1201_1403,0.563360
2016_1201_1393,0.541824
2016_1201_1211,0.193768
2016_1201_1233,0.461579
2016_1201_1292,0.504813
2016_1201_1214,0.577056
2016_1201_1242,0.260156
2016_1201_1437,0.281888
2016_1201_1274,0.381439
2016_1201_1268,0.425544
2016_1201_1234,0.400309
2016_1201_1396,0.553435
2016_1201_1435,0.433100
